Date,Name,Year,Letterboxd URI,Poster URL,TMDB ID
2025-01-02,"Schindler's List",1993,https://boxd.it/2aq2,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,424
2025-01-02,"The Silence of the Lambs",1991,https://boxd.it/2aHW,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,274
2025-01-02,"Dune",2021,https://boxd.it/fA7G,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,438631
2025-01-03,"Gia",1998,https://boxd.it/1NUo,https://image.tmdb.org/t/p/w500/8KxvKGl8lQembejIadDP03qjEYT.jpg,14533
2025-01-05,"The Matrix",1999,https://boxd.it/2a1m,https://image.tmdb.org/t/p/w500/p96dm7sCMn4VYAStA6siNz30G1r.jpg,603
2025-01-05,"Joker",2019,https://boxd.it/h4cS,https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,475557
2025-01-05,"Mulholland Drive",2001,https://boxd.it/297o,https://image.tmdb.org/t/p/w500/x7A59t6ySylr1L7aubOQEA480vM.jpg,1018
2025-01-06,"Look Back",2024,https://boxd.it/LjA6,https://image.tmdb.org/t/p/w500/4f2EcNkp1Mvp9wE5w7HKxcmACWg.jpg,1244492
2025-01-06,"A Clockwork Orange",1971,https://boxd.it/2aVE,https://image.tmdb.org/t/p/w500/uBB2SoceeHndk1lgBgTxXpMocFg.jpg,185
2025-01-07,"Inception",2010,https://boxd.it/1skk,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,27205
2025-01-07,"Come and See",1985,https://boxd.it/1w9q,https://image.tmdb.org/t/p/w500/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,25237
2025-01-07,"Paris, Texas",1984,https://boxd.it/29Ts,/backup-posters/ParisTexas.jpg,1338793
2025-01-14,"The New Mutants",2020,https://boxd.it/bjle,https://image.tmdb.org/t/p/w500/xiDGcXJTvu1lazFRYip6g1eLt9c.jpg,340102
2025-01-14,"Licorice Pizza",2021,https://boxd.it/qTKY,https://image.tmdb.org/t/p/w500/ivXtvzfliGvoJ1DhSHIGyYBToWe.jpg,718032
2025-01-14,"La Haine",1995,https://boxd.it/2as8,https://image.tmdb.org/t/p/w500/a6DGCZC2fHNr07tyRumM30ALEKE.jpg,406
2025-01-16,"A Star Is Born",2018,https://boxd.it/aXgc,https://image.tmdb.org/t/p/w500/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,332562
2025-01-16,"La La Land",2016,https://boxd.it/a5fa,https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,313369
2025-01-16,"About Time",2013,https://boxd.it/43bI,https://image.tmdb.org/t/p/w500/iR1bVfURbN7r1C46WHFbwCkVve.jpg,122906
2025-01-17,"Freaky Friday",2003,https://boxd.it/1WwK,https://image.tmdb.org/t/p/w500/ipKcZ4Up7dp18XpsfYUc9NKZy3g.jpg,10330
2025-01-17,"Twin Peaks: Fire Walk with Me",1992,https://boxd.it/27Qw,https://image.tmdb.org/t/p/w500/mxsGXqetGnirf99qapYd5MMY1VL.jpg,1923
2025-01-18,"Gladiator",2000,https://boxd.it/2b9m,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,98
2025-01-19,"The Pianist",2002,https://boxd.it/2aqc,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,423
2025-01-20,"Se7en",1995,https://boxd.it/29zs,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,807
2025-01-23,"Return to Silent Hill",2026,https://boxd.it/po3C,https://image.tmdb.org/t/p/w500/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,680493
2025-01-24,"Crash",1996,https://boxd.it/29n2,https://image.tmdb.org/t/p/w500/gpai5oUFyFGLHOCsYTvVMqlbY7A.jpg,884
2025-02-01,"A Silent Voice: The Movie",2016,https://boxd.it/d99c,https://image.tmdb.org/t/p/w500/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,378064
2025-02-05,"The Raid",2011,https://boxd.it/3hBy,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,85
2025-02-11,"Memories of Murder",2003,https://boxd.it/1TSo,https://image.tmdb.org/t/p/w500/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,11423
2025-02-11,"Sound of Metal",2019,https://boxd.it/i7Q4,https://image.tmdb.org/t/p/w500/3178oOJKKPDeQ2legWQvMPpllv.jpg,502033
2025-02-11,"Little Miss Sunshine",2006,https://boxd.it/29EW,https://image.tmdb.org/t/p/w500/wKn7AJw730emlmzLSmJtzquwaeW.jpg,773
2025-02-18,"Lilya 4-ever",2002,https://boxd.it/1SyW,https://image.tmdb.org/t/p/w500/5i1uhvcdv2Iogx0Bb1znvUmkCvN.jpg,12093
2025-02-18,"Mamma Mia!",2008,https://boxd.it/1Tnq,https://image.tmdb.org/t/p/w500/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg,11631
2025-02-18,"The Menu",2022,https://boxd.it/lScm,https://image.tmdb.org/t/p/w500/fPtUgMcLIboqlTlPrq0bQpKK8eq.jpg,593643
2025-02-18,"The Bling Ring",2013,https://boxd.it/3lPY,https://image.tmdb.org/t/p/w500/eQHniJoGUSU5ULABwYX9P3k2LC3.jpg,96936
2025-02-18,"Notting Hill",1999,https://boxd.it/2aeK,https://image.tmdb.org/t/p/w500/hHRIf2XHeQMbyRb3HUx19SF5Ujw.jpg,509
2025-02-18,"Juno",2007,https://boxd.it/210a,https://image.tmdb.org/t/p/w500/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,7326
2025-02-21,"Death Proof",2007,https://boxd.it/27GG,https://image.tmdb.org/t/p/w500/vtu6H4NWnQVqEp3aanUq3hNeeot.jpg,1991
2025-03-24,"Belle de Jour",1967,https://boxd.it/29Uq,https://image.tmdb.org/t/p/w500/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,649
2025-04-21,"WandaVision",2021,https://boxd.it/sbGW,/backup-posters/WandaVision.jpg,85271
2025-05-04,"The Girl Who Leapt Through Time",2006,https://boxd.it/1OPa,https://image.tmdb.org/t/p/w500/xHnlWM8BmqY419YUccYy2KC5Jqo.jpg,14069
2025-05-04,"Suzume",2022,https://boxd.it/yv7Y,https://image.tmdb.org/t/p/w500/yStW1TXF5s7Tbtu9KjIZEaWl6HL.jpg,916224
2025-05-04,"Grave of the Fireflies",1988,https://boxd.it/1RUM,https://image.tmdb.org/t/p/w500/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,12477
2025-05-14,"Split",2016,https://boxd.it/dgSy,https://image.tmdb.org/t/p/w500/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,381288
2025-05-17,"She's Out of My League",2010,https://boxd.it/1eww,https://image.tmdb.org/t/p/w500/mpYHjyPX0DAxbsnWKmSK5jZ1s4T.jpg,34016
2025-09-21,"The Perks of Being a Wallflower",2012,https://boxd.it/2ZA8,https://image.tmdb.org/t/p/w500/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg,84892
2025-10-07,"The Dictator",2012,https://boxd.it/2DEW,https://image.tmdb.org/t/p/w500/n0W7kajF4GFMRk2c0wWwMQqTaDM.jpg,76493